metro,pop_1317,pop_1822,pop_growth
"Idaho Falls, ID",140427.0,158478.0,0.12854365613450414
"Indiana, PA",86551.0,83394.0,-0.036475603979156834
"Indianapolis, IN",1989032.0,2109957.0,0.0607959047416029
"Indianola, MS",26915.0,25867.0,-0.03893739550436559
"Iowa City, IA",166520.0,175894.0,0.056293538313715974
"Ithaca, NY",104415.0,102555.0,-0.017813532538428434
"Jackson, MS",578565.0,591397.0,0.022179011865564036
"Jackson, TN",129538.0,180446.0,0.3929966496317683
"Jacksonville, FL",1447884.0,1613587.0,0.11444494172185071
"Jacksonville, IL",39551.0,37781.0,-0.044752345073449495
"Jacksonville, TX",51594.0,50824.0,-0.01492421599410787
"Janesville, WI",161226.0,163817.0,0.016070608958852706
"Jefferson, GA",63851.0,77033.0,0.20644938998606133
"Jennings, LA",31405.0,32277.0,0.02776627925489561
"Johnson City, TN",200767.0,207442.0,0.03324749585340214
"Johnstown, PA",135871.0,133263.0,-0.019194677304207652
"Jonesboro, AR",128344.0,134035.0,0.04434176899582365
"Joplin, MO",176759.0,181807.0,0.028558658965031514
"Kalamazoo, MI",335020.0,261426.0,-0.21967046743478003
"Kankakee, IL",110801.0,107421.0,-0.030505139845308227
"Kansas City, MO",2088830.0,2190750.0,0.048792864905234046
"Kendallville, IN",47421.0,47431.0,0.0002108770375994773
"Kill Devil Hills, NC",39502.0,37160.0,-0.05928813730950333
"Kingsport, TN",306745.0,308386.0,0.005349720451841122
"Kingston, NY",180129.0,182153.0,0.011236391697061476
"Kingsville, TX",32104.0,30976.0,-0.035135808621978515
"Knoxville, TN",862490.0,884359.0,0.02535565629746439
"Kokomo, IN",82457.0,83452.0,0.012066895472791828
"LaGrange, GA",69433.0,104139.0,0.49984877507813286
"Laconia, NH",60383.0,63914.0,0.05847672358114031
"Lafayette, IN",214760.0,224515.0,0.04542279754144163
"Lafayette, LA",487633.0,479865.0,-0.015930012940059468
"Lake Charles, LA",205559.0,216217.0,0.05184886091097929
"Lake City, FL",68484.0,69832.0,0.019683429706208733
"Las Cruces, NM",213849.0,219870.0,0.028155380665796814
"Las Vegas, NM",28203.0,31423.0,0.11417225117895269
"Las Vegas, NV",2112436.0,2265926.0,0.07266018946846198
"Laurinburg, NC",35445.0,34222.0,-0.03450416137678092
"Lawrence, KS",117806.0,119094.0,0.010933229207340966
"Lawrenceburg, TN",42591.0,44377.0,0.04193374187034826
"Lebanon, PA",137616.0,143258.0,0.04099813975119182
"Levelland, TX",23273.0,21495.0,-0.07639754221630213
"Lewisburg, PA",45056.0,42908.0,-0.04767400568181823
"Lewisburg, TN",31753.0,34567.0,0.08862154757030827
"Lewiston, ME",107317.0,111532.0,0.03927616314283844
"Lexington, KY",500689.0,515954.0,0.030487987553151852
"Lima, OH",104157.0,102087.0,-0.01987384429275041
"Lincoln, IL",29488.0,28027.0,-0.04954557786218128
"Lincoln, NE",323402.0,339707.0,0.05041712790891828
"Little Rock, AR",730346.0,749290.0,0.025938390844887138
"Lock Haven, PA",39321.0,37860.0,-0.037155718318455766
"Longview, WA",103590.0,110621.0,0.06787334684815138
"Los Alamos, NM",18031.0,19253.0,0.06777217015140602
"Los Angeles, CA",13261538.0,13111917.0,-0.011282326378735275
"Louisville/Jefferson County, KY",1278203.0,1282588.0,0.003430597487253495
"Lubbock, TX",309722.0,322285.0,0.040562181569278266
"Lumberton, NC",134187.0,117573.0,-0.12381229180173936
"Macon, GA",229966.0,233334.0,0.014645643269004971
"Madera, CA",154440.0,157243.0,0.018149443149443112
"Madison, WI",640072.0,678995.0,0.06081034633603721
"Malvern, AR",33480.0,33129.0,-0.010483870967741948
