msanecma,population,msaname,WRLURI,FLAT_SHARE_50_15,S_LAND_50,lu11,lu91,lu92,unaval,elasticity
1740.0,135785,"Columbia, MO (MSA)",-1.5323458,98.0,100.0,0.017213946262814597,0.016509259230676622,0.003057261295829256,0.056780465,7.8417006
1760.0,538271,"Columbia, SC (MSA)",-0.7645787,100.0,100.0,0.033814501339192345,0.11606991260312198,0.0023821157945987034,0.15226653,2.640273
1800.0,274971,"Columbus, GA-AL (MSA)",-0.8269074,99.0,100.0,0.012465244726487273,0.037629212371800995,0.0014400925592286298,0.06153455,3.8502142
1840.0,1544794,"Columbus, OH (MSA)",0.25988513,99.0,100.0,0.010106986016166964,0.003487199924981245,0.0013877240377510108,0.02498191,2.7131891
1880.0,380689,"Corpus Christi, TX (MSA)",-0.24546725,100.0,68.0,0.025782326949472245,0.005262916364788315,0.05749467579842494,0.38020715,1.6543641
1890.0,78130,"Corvallis, OR (MSA)",0.0659792,55.0,100.0,0.0053579142131503716,0.0009449970784221325,0.0032787096252710835,0.4595816,2.811249
1920.0,3541099,"Dallas, TX (PMSA)",-0.22867998,100.0,100.0,0.06695996195797978,0.016098053139072484,0.00853111318364792,0.09158913,2.17532
1960.0,358826,"Davenport-Moline-Rock Island, IA-IL (MSA)",-0.91260684,100.0,100.0,0.022516657740975787,0.018517044043589115,0.004736193814992267,0.045769896,4.1087456
2000.0,950177,"Dayton-Springfield, OH (MSA)",-0.5002998,100.0,100.0,0.008137839577799334,0.0015746857565764555,0.0006983271948912471,0.010410853,3.705984
2020.0,495669,"Daytona Beach, FL (MSA)",0.4783041,100.0,61.0,0.07319400402882906,0.2132665155283817,0.06649714122291606,0.6053042,1.0688713
2030.0,146055,"Decatur, AL (MSA)",-0.98815924,93.0,100.0,0.0385158196753178,0.05221293418487741,0.003789751582419394,0.1645185,3.8511612
2040.0,114489,"Decatur, IL (MSA)",-0.99899614,100.0,100.0,0.009101466581293776,0.0130646492496736,0.0008605189579770656,0.023026634,4.9873834
2080.0,2120775,"Denver, CO (PMSA)",0.8363913,85.0,100.0,0.017234055334847908,0.0,4.9913595499157255e-06,0.16723904,1.5290611
2120.0,457462,"Des Moines, IA (MSA)",-0.84009665,99.0,100.0,0.01534238444995807,0.024989790307672285,0.011387962911606105,0.061720137,3.6620333
2160.0,4444693,"Detroit, MI (PMSA)",0.05446281,100.0,82.0,0.028144849874046692,0.04008534407345451,0.011268946529988683,0.2451893,1.2411451
2180.0,138048,"Dothan, AL (MSA)",-0.9431387,100.0,100.0,0.00787617446007018,0.08024378983555434,0.0031225294897709492,0.09124249,4.2563744
2190.0,127122,"Dover, DE (MSA)",0.31534323,100.0,78.0,0.032673367862982694,0.09073503079054483,0.08218393322907767,0.380362,2.181916
2200.0,89179,"Dubuque, IA (MSA)",-0.9588186,92.0,100.0,0.019937117452599656,0.009176763221457582,0.003315180152307651,0.11242906,4.6055536
2240.0,243739,"Duluth-Superior, MN-WI (MSA)",-0.2934594,99.0,85.0,0.03486288448861672,0.1672555705920377,0.016391101956649168,0.34423313,2.0149717
2320.0,682111,"El Paso, TX (MSA)",0.7277706,95.0,100.0,0.0012430237551493322,0.0,7.166938503288685e-05,0.051314693,2.3477886
2330.0,183405,"Elkhart-Goshen, IN (MSA)",-0.8325504,100.0,100.0,0.022272147705331917,0.0341122865519997,0.0098457892182397,0.06623022,4.0081205
2335.0,91005,"Elmira, NY (MSA)",-0.76975363,67.0,100.0,0.013446151176429276,0.0012315142100627113,0.0008220971912783936,0.34549975,3.5560894
2340.0,57661,"Enid, OK (MSA)",-0.46963257,100.0,100.0,0.011118049868372207,0.00018799068191414299,0.0034991969854543496,0.014805238,3.8586347
2360.0,280695,"Erie, PA (MSA)",-0.6262951,98.0,52.0,0.005245164561188573,0.02818965995210191,0.003839482916010528,0.5097826,1.6713277
2400.0,323271,"Eugene-Springfield, OR (MSA)",0.34311852,39.0,100.0,0.011611601499631486,0.0005153077588593855,0.0029935684489350296,0.62512046,1.2243577
2440.0,296282,"Evansville-Henderson, IN-KY (MSA)",-1.0457487,100.0,100.0,0.034229333421599555,0.04896117891248924,0.0035354186248000553,0.08672593,3.9929748
2520.0,174654,"Fargo-Moorhead, ND-MN (MSA)",-1.2707556,100.0,100.0,0.0061391210033679665,0.0027313966698578793,0.020706188162712035,0.029576706,5.97526
2560.0,302914,"Fayetteville, NC (MSA)",-0.508336,100.0,100.0,0.008344317464748443,0.1438949393947632,0.002913931608807194,0.15515319,2.7050788
2580.0,313361,"Fayetteville-Springdale-Rogers, AR (MSA)",-0.40400937,74.0,100.0,0.024218412666549408,0.0036769113109431004,0.0014332011543866402,0.28932852,2.064204
2620.0,122708,"Flagstaff, AZ-UT (MSA)",-0.418257,82.0,100.0,0.0002820151516350942,0.0005168731644276972,0.00038715237921835294,0.18118604,3.1154153
2640.0,436872,"Flint, MI (PMSA)",-0.3153763,100.0,100.0,0.02329819188458599,0.06398618197261129,0.00851250286917286,0.095796876,2.750336
2655.0,125847,"Florence, SC (MSA)",-0.4279859,100.0,100.0,0.007979933284631199,0.23019363744192498,0.0004964190548315713,0.23866999,2.937962
2670.0,252804,"Fort Collins-Loveland, CO (MSA)",0.5740648,72.0,100.0,0.032300495528543305,0.0001090176493980478,0.0001152373568121995,0.31252474,1.7872449
2680.0,1632071,"Fort Lauderdale, FL (PMSA)",0.72071844,100.0,55.0,0.04019919090700812,0.11959650945484925,0.39852168181893377,0.75707453,0.6535772
2700.0,443946,"Fort Myers-Cape Coral, FL (MSA)",-0.14938621,100.0,73.0,0.03616265496806411,0.24208431540377182,0.07995855435795139,0.53149,1.2812364
2710.0,320734,"Fort Pierce-Port St. Lucie, FL (MSA)",0.44561318,100.0,54.0,0.10710351731344833,0.1079023280385894,0.1353996254862041,0.649219,1.1887226
2720.0,207869,"Fort Smith, AR-OK (MSA)",-1.0431358,85.0,100.0,0.03272245043739886,0.010481222022191601,0.004439540957050355,0.19764322,3.3567379
2750.0,170934,"Fort Walton Beach, FL (MSA)",-0.07139186,100.0,50.0,0.010501174791233251,0.15216145453376745,0.010424054231719486,0.5865433,1.7463965
2760.0,503001,"Fort Wayne, IN (MSA)",-1.2196237,100.0,100.0,0.008325893447191056,0.014960702643237875,0.0023481128561232537,0.02563471,5.3610816
2800.0,1713122,"Fort Worth-Arlington, TX (PMSA)",-0.27238455,100.0,100.0,0.03983621858015034,0.005819254660351118,0.003430321609759432,0.049085796,2.7976818
2840.0,925883,"Fresno, CA (MSA)",0.90788496,88.0,100.0,0.005707295915522486,0.0008004307538135406,0.0022661530662251303,0.12877388,1.8360769
2880.0,103284,"Gadsden, AL (MSA)",-0.50981665,87.0,100.0,0.029619016592313096,0.00877001785218296,0.0017391426626881194,0.17012818,3.406384
2900.0,218176,"Gainesville, FL (MSA)",0.07176816,100.0,100.0,0.024810263056474418,0.09880982196924246,0.030454910711334948,0.154075,2.4784896
2920.0,250727,"Galveston-Texas City, TX (PMSA)",0.6551315,100.0,36.0,0.06079907651579791,0.00851562662995308,0.23905359062026527,0.75101256,1.1799228
2960.0,631827,"Gary, IN (PMSA)",-0.69447035,100.0,72.0,0.016429976758971468,0.02430077061693213,0.008298305307315216,0.3153009,1.7368343
2975.0,124348,"Glens Falls, NY (MSA)",-1.6048446,66.0,100.0,0.04579020939073086,0.017616514542487187,0.0053351609072596895,0.4087419,4.528373
2980.0,113341,"Goldsboro, NC (MSA)",-0.42365012,100.0,100.0,0.006037979992831022,0.19906704250919716,0.002137660678343692,0.20724268,3.1196246
2995.0,116823,"Grand Junction, CO (MSA)",0.46126384,57.0,100.0,0.002454786815434554,1.8442532202967735e-05,0.0003393997786809721,0.43281263,2.1279953
3000.0,1091986,"Grand Rapids-Muskegon-Holland, MI (MSA)",-0.14516415,100.0,98.0,0.020189531879480492,0.049301759570614626,0.00478369407209505,0.092789486,2.38978
3040.0,80196,"Great Falls, MT (MSA)",-0.00999154,83.0,100.0,0.005826913986668366,0.003066324750428245,0.002093250360342491,0.1809865,3.072524
3060.0,183058,"Greeley, CO (PMSA)",0.44817808,93.0,100.0,0.030633732687533558,0.00011795129260526655,8.282047595880587e-05,0.100834504,2.521466
3080.0,227295,"Green Bay, WI (MSA)",0.57362556,100.0,85.0,0.01998031987027694,0.0677988265612969,0.009671658985750922,0.23283319,2.0161753
3120.0,1255125,"Greensboro-Winston-Salem-High Point, NC (MSA)",-0.29141775,99.0,100.0,0.011054369386011426,0.008470034068805445,0.0016829189800883389,0.031207323,3.0958705
3150.0,134116,"Greenville, NC (MSA)",1.3913455,100.0,99.0,0.006034829531733965,0.2620624708612206,0.0028972777329079394,0.27828464,1.9563341
3160.0,965407,"Greenville-Spartanburg-Anderson, SC (MSA)",-0.93512124,89.0,100.0,0.01316049832754665,0.005304170802568698,0.00020203096381616134,0.1286667,2.7141483
3180.0,132130,"Hagerstown, MD (PMSA)",0.33264944,83.0,100.0,0.009283828595441853,0.00557500218782646,0.002577668206561371,0.1874365,2.493968
3200.0,333720,"Hamilton-Middletown, OH (PMSA)",0.023464393,95.0,100.0,0.014717325770351931,0.003865603480845664,0.0012414927581340307,0.06982442,2.7447553
3240.0,629674,"Harrisburg-Lebanon-Carlisle, PA (MSA)",0.5364548,79.0,100.0,0.022969139459966613,0.0050986499905545084,0.0021639363611742728,0.24023172,1.6292934
3283.0,1150619,"Hartford, CT (NECMA)",0.48542982,88.0,100.0,0.032720291107787014,0.06142682836806791,0.018726369220056296,0.23287348,1.4960839
3290.0,342895,"Hickory-Morganton-Lenoir, NC (MSA)",-0.57666487,82.0,100.0,0.024373752799824587,0.004572260731759597,0.0007153195388917513,0.20966133,2.4136906
3360.0,4199526,"Houston, TX (PMSA)",-0.39815277,100.0,97.0,0.02432101759883424,0.012055499036042283,0.01927629419996922,0.08398323,2.3022218
3400.0,315215,"Huntington-Ashland, WV-KY-OH (MSA)",-1.2046235,50.0,100.0,0.013415407021549555,0.001392699126745112,0.0005022344196005603,0.51531035,1.810303
3440.0,343447,"Huntsville, AL (MSA)",-1.2436147,84.0,100.0,0.03577663300079935,0.04448819157967205,0.0030512372615104436,0.24331607,2.848342
3480.0,1612538,"Indianapolis, IN (MSA)",-0.7448606,100.0,100.0,0.008180405744355081,0.005834786672942824,0.0004106018031068123,0.014425795,4.0038266
3500.0,111257,"Iowa City, IA (MSA)",-0.83003175,100.0,100.0,0.010815015741469583,0.01750029113125792,0.007565194993761468,0.035880502,4.4204044
3560.0,441982,"Jackson, MS (MSA)",-0.72970307,100.0,100.0,0.02732188946206741,0.08565972264620543,0.0002727427358868328,0.11325435,3.0016487
3580.0,107582,"Jackson, TN (MSA)",-1.1300251,100.0,100.0,0.008315697637567435,0.07883838136488676,0.004161663306752642,0.09131574,5.063777
3600.0,1103911,"Jacksonville, FL (MSA)",-0.022161968,100.0,82.0,0.06458169288637063,0.23222012831172534,0.06085571047044124,0.47327918,1.0591615
3610.0,139543,"Jamestown, NY (MSA)",-0.64898074,77.0,95.0,0.015603243543469394,0.014330279727513094,0.0008835596526975632,0.29777622,2.8684938
3620.0,152489,"Janesville-Beloit, WI (MSA)",-0.27588543,100.0,100.0,0.02118672795751628,0.020015425296437423,0.006725588293714405,0.04792774,3.3310556
3640.0,608950,"Jersey City, NJ (PMSA)",0.28826797,94.0,78.0,0.04001561483358213,0.03667549061558836,0.01465358666695693,0.33804885,1.4410934
3660.0,480327,"Johnson City-Kingsport-Bristol, TN-VA (MSA)",-0.8663563,46.0,100.0,0.010960074241814503,0.0015996747156841412,0.00036711759531793576,0.55292684,1.3518708
3680.0,232187,"Johnstown, PA (MSA)",0.4373934,68.0,100.0,0.004339455495167765,0.0022589265655949707,0.0006676802445506645,0.32726607,1.8350359
3710.0,157667,"Joplin, MO (MSA)",-1.3846338,99.0,100.0,0.013681708385806065,0.02234161574769325,0.005913361875603794,0.051936686,6.3960743
3720.0,453138,"Kalamazoo-Battle Creek, MI (MSA)",0.04513974,100.0,100.0,0.028798875686655546,0.06284767429260338,0.007008743549463375,0.09865529,2.4802504
3740.0,103871,"Kankakee, IL (PMSA)",0.0011251341,100.0,100.0,0.01259705429825678,0.014230132263882634,0.0025714582016337327,0.029398644,3.1808586
3760.0,1781537,"Kansas City, MO-KS (MSA)",-0.79256713,99.0,100.0,0.023073396864967503,0.013733529674664175,0.011346091372504306,0.05815302,3.1908052
3800.0,150056,"Kenosha, WI (PMSA)",0.85169935,100.0,56.0,0.038770403108286784,0.021747305594965065,0.009229227629916351,0.4790583,1.7547425
3810.0,314252,"Killeen-Temple, TX (MSA)",-1.0092105,99.0,100.0,0.022835264168790226,7.874444241073504e-05,0.00042253622862933394,0.033336546,4.5897794
3840.0,689071,"Knoxville, TN (MSA)",-0.37212443,65.0,100.0,0.03430476491299471,0.0008043855679713897,0.00020693280148542206,0.38531607,1.4200677
3850.0,101563,"Kokomo, IN (MSA)",-0.95596826,100.0,100.0,0.005664756071104934,0.009230937338896378,0.0009936766328102235,0.01588937,4.9113264
3870.0,126990,"La Crosse, WI-MN (MSA)",0.41301635,70.0,100.0,0.02760565487929651,0.020625669851578883,0.009578450424481282,0.35780978,2.178696
